Variety serial no.,Variety name,Tmax,aa,AIC,R2,R2_Adj,MSC,RMSE,n,RMAX,TMIN,TOPT,Tl,p,dt,L,Model,ThermalTime,Model_Formular
V2-TZ,DKC8033,40.011,0.0003,-65.7013,0.9655,0.9483,-0.8921,0.0013,,,8.5087,,,,,,Briere_3,600,  r(T) = aa.(T-To).(Tmax-T)^0.5
V3-TZ,DKC9089,38.0528,0.0003,-64.9323,0.9512,0.9268,-0.9074,0.0013,,,7.1107,,,,,,Briere_3,640,  r(T) = aa.(T-To).(Tmax-T)^0.5
V4-TZ,EX-UYL1,38.0505,0.0003,-64.6911,0.9468,0.9201,-0.9117,0.0013,,,8.2471,,,,,,Briere_3,609,  r(T) = aa.(T-To).(Tmax-T)^0.5
V6-TZ,EX-UYL2,39.0135,0.00003,-66.072,0.9402,0.9402,-0.895,0.0012,,,7.9531,,,,,,Briere_3,644,  r(T) = aa.(T-To).(Tmax-T)^0.5
V7-TZ,KITALE H614D,39.0674,0.00002,-79.6176,0.9919,0.9878,-0.8659,0.0005,,,8.1893,,,,,,Briere_3,612,  r(T) = aa.(T-To).(Tmax-T)^0.5
V8-TZ,KITALE H625,39.0655,0.00002,-70.4266,0.9741,0.9612,-0.8839,0.0009,,,7.2954,,,,,,Briere_3,615,  r(T) = aa.(T-To).(Tmax-T)^0.5
V11-TZ,MERU-HB515,40.0122,0.00003,-61.8106,0.9352,0.9028,-0.9244,0.0017,,,8.4233,,,,,,Briere_3,655,  r(T) = aa.(T-To).(Tmax-T)^0.5
V13-TZ,PAN4M-19,38.0451,0.00003,-68.145,0.9762,0.9643,-0.8805,0.0011,,,7.5874,,,,,,Briere_3,599,  r(T) = aa.(T-To).(Tmax-T)^0.5
V21-TZ,SC627,39.0433,0.00003,-60.681,0.9027,0.8541,-0.9653,0.0018,,,9.6146,,,,,,Briere_3,639,  r(T) = aa.(T-To).(Tmax-T)^0.5
V22-TZ,SC719,38.106,0.00003,-59.9431,0.9013,0.8519,-0.9654,0.0019,,,9.2004,,,,,,Briere_3,655,  r(T) = aa.(T-To).(Tmax-T)^0.5
V24-TZ,TAN H600,37.1545,0.00004,-58.1989,0.8816,0.8224,-0.985,0.0021,,,9.9891,,,,,,Briere_3,647,  r(T) = aa.(T-To).(Tmax-T)^0.5
V26-TZ,TMV2,39.0441,0.00003,-64.1198,0.9365,0.9048,-0.9259,0.0014,,,9.8967,,,,,,Briere_3,617,  r(T) = aa.(T-To).(Tmax-T)^0.5
V29-TZ,TZM523,37.1403,0.00004,-63.7,0.9106,0.9048,-0.9233,0.0014,,,10.2123,,,,,,Briere_3,647,  r(T) = aa.(T-To).(Tmax-T)^0.5
V34-TZ,UHS 5350,40.0103,0.00003,-61.4276,0.9212,0.8819,-0.9443,0.0017,,,9.7177,,,,,,Briere_3,630,  r(T) = aa.(T-To).(Tmax-T)^0.5
V35-TZ,ZMS 402,40.0343,0.00004,-62.3422,0.9433,0.9149,-0.9188,0.0016,,,10.1877,,,,,,Briere_3,655,  r(T) = aa.(T-To).(Tmax-T)^0.5
V36-TZ,ZMS 606,38.089,,-58.5535,0.8753,0.8129,-0.9962,0.0021,,,9.8583,,,,,,Briere_3,623,  r(T) = aa.(T-To).(Tmax-T)^0.5
V31-TZ,UH 6303,40.6228,0.00001,-68.7071,0.9781,0.9563,-1.1649,0.0014,0.9224,,10.1683,,,,,,Briere_4,622, r(T) = aa*(T-To).(Tmax-T)^(1/n)
V33-TZ,UHS 5210,39.2977,0.00002,-71.5091,0.9685,-0.9685,-1.1588,0.0007,1.3409,,10.5944,,,,,,Briere_4,629, r(T) = aa*(T-To).(Tmax-T)^(1/n)
V1-TZ,DK 8031,39.5973,,-69.7704,0.9853,0.9701,-1.1571,0.0008,,0.0207,7.9026,26.6877,,,,,Beta_4,637, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V9-TZ,KITALE HB04,40.3638,,-66.3676,0.9751,0.9501,-1.1676,0.001,,0.0193,9.2019,25.998,,,,,Beta_4,610, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V10-TZ,MERU HB513,39.6561,,-59.9363,0.9337,0.8673,-1.2062,0.0016,,0.0191,8.2192,26.577,,,,,Beta_4,648, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V12-TZ,MERU HB623,38.7881,,-62.015,0.9493,0.8987,-1.193,0.0014,,0.0171,8.1985,25.0536,,,,,Beta_4,651, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V14-TZ,PAN4M-21,40.3808,,-67.2297,0.9798,0.9596,-1.1623,0.001,,0.0187,9.463,25.7351,,,,,Beta_4,648, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V15-TZ,PAN 67,40.4709,,-64.8991,0.9664,0.9328,-1.1783,0.0011,,0.0173,11.2608,24.474,,,,,Beta_4,654, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V16-TZ,PAN 691,40.0031,,-71.0468,0.9811,0.9622,-1.1617,0.0007,,0.0154,8.8772,24.7742,,,,,Beta_4,609, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V17-TZ,PHB 30G19,40.4371,,-63.6432,0.9603,0.9206,-1.183,0.0013,,0.0172,8.9669,25.1313,,,,,Beta_4,609, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V18-TZ,PHB 3253,38.7581,,-70.4209,0.9832,0.9665,-1.1595,0.0008,,0.0184,10.0972,24.9678,,,,,Beta_4,664, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V20-TZ,SC513,39.939,,-64.1949,0.9585,0.917,-1.1861,0.0012,,0.0174,10.8131,24.2897,,,,,Beta_4,623, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V23-TZ,TAN 250,39.8325,,-66.6312,0.9778,0.9557,-1.1669,0.001,,0.019,11.5826,24.5872,,,,,Beta_4,629, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V25-TZ,TMV 1,40.3663,,-70.517,0.987,0.9739,-1.1559,0.0008,,0.0198,10.8262,25.7793,,,,,Beta_4,654, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V28-TZ,TZH 538,40. 0756 ,,-62.9037,0.9576,0.9152,-1.1839,0.0013,,0.0194,8.6044,26.0672,,,,,Beta_4,646, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V30-TZ,UH 615,41.5471,,-65.2249,0.965,0.9301,-1.1797,0.0011,,0.017,10.7456,25.1139,,,,,Beta_4,647, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V32-TZ,UHS 401,39.7813,,-69.5789,0.985,0.9699,-1.158,0.0008,,0.0191,10.248,25.0608,,,,,Beta_4,642, r(T) = Rmax.((Tmax-T)/(Tmax-Topt)).((T-Tmin)/(Topt-Tmin))^((Topt-Tmin)/(Tmax-Topt))
V5-TZ,KH 600-15A,,,-64.6193,0.96,0.9201,-1.1828,0.0012,,,,,16.7817,0.0176,43.8225,-0.3393,Latin_2,612,r(T) = exp(p·T)-exp((T-p·Tl-Tl)/dt)+L
,,,,,,,,,,,,,,,,,,549,
,,,,,,,,,,,,,,,,,,642,
,,,,,,,,,,,,,,,,,,656,
,,,,,,,,,,,,,,,,,,646,
,,,,,,,,,,,,,,,,,,588,
,,,,,,,,,,,,,,,,,,595,
,,,,,,,,,,,,,,,,,,610,
,,,,,,,,,,,,,,,,,,582,
