Name 1,Name 2,Lon,Lat,Model,Sowing Day,Sowing Month,Start Year,End Year,Flowering Mean,Flowering SD,Maturity Mean,Maturity SD
Arusha,Monduli,36.475,-3.875,Beta_4,1,1,1980,2009,53.6,3.15,47.3,3.95
Arusha.1,Karatu,35.475,-3.625,Beta_4,1,1,1980,2009,54.2,2.93,49.2,3.35
Arusha.2,Arusha,36.475,-3.625,Beta_4,1,1,1980,2009,53.5,3.29,46.9,4.29
Arusha.3,Ngorongoro,34.975,-3.375,Beta_4,1,1,1980,2009,56.2,3,53.8,3.6
Arusha.4,Lake Eyasi,35.225,-3.375,Beta_4,1,1,1980,2009,55.5,2.89,52,3.34
Arusha.5,Lake Manyara,35.975,-3.375,Beta_4,1,1,1980,2009,59.9,4.94,56.7,6.14
Arusha.6,Arusha Urban,36.475,-3.375,Beta_4,1,1,1980,2009,53.4,3.26,46.8,4.53
Arusha.7,Meru,36.725,-3.375,Beta_4,1,1,1980,2009,68.9,8.86,67.4,11.15
Arusha.8,Longido,36.725,-3.125,Beta_4,1,1,1980,2009,70.2,9.28,68.7,11.26
Dodoma,Mpwapwa,35.975,-6.875,Beta_4,1,1,1980,2009,49.9,0.94,42.2,2.28
Dodoma.1,Chamwino,35.225,-6.625,Beta_4,1,1,1980,2009,50.1,0.94,43.3,2.1
Dodoma.2,Bahi,35.725,-6.625,Beta_4,1,1,1980,2009,49.9,0.78,42.4,2.3
Dodoma.3,Dodoma Urban,35.725,-6.375,Beta_4,1,1,1980,2009,50.7,1.34,45,2.5
Dodoma.4,Kongwa,36.725,-6.375,Beta_4,1,1,1980,2009,51.3,1.67,45.8,2.64
Dodoma.5,Chemba,35.475,-5.625,Beta_4,1,1,1980,2009,49.8,0.82,41.8,2.06
Dodoma.6,Kondoa,35.725,-5.125,Beta_4,1,1,1980,2009,51.4,1.63,45.9,2.5
Geita,Chato,31.725,-3.125,Beta_4,1,1,1980,2009,52.8,1.21,50,2.27
